Tanggal,Kab/Kota,Harga
2021-03-24,Kota Surabaya,10500
2021-03-25,Kab. Bangkalan,11000
2021-03-25,Kab. Banyuwangi,10000
2021-03-25,Kab. Blitar,9500
2021-03-25,Kab. Bojonegoro,10500
2021-03-25,Kab. Bondowoso,10500
2021-03-25,Kab. Gresik,10600
2021-03-25,Kab. Jember,11500
2021-03-25,Kab. Jombang,9500
2021-03-25,Kab. Kediri,9000
2021-03-25,Kab. Lamongan,10000
2021-03-25,Kab. Lumajang,10500
2021-03-25,Kab. Madiun,9750
2021-03-25,Kab. Magetan,10000
2021-03-25,Kab. Malang,
2021-03-25,Kab. Mojokerto,9300
2021-03-25,Kab. Nganjuk,9300
2021-03-25,Kab. Ngawi,9200
2021-03-25,Kab. Pacitan,
2021-03-25,Kab. Pamekasan,11000
2021-03-25,Kab. Pasuruan,10500
2021-03-25,Kab. Ponorogo,9500
2021-03-25,Kab. Probolinggo,9600
2021-03-25,Kab. Sampang,10500
2021-03-25,Kab. Sidoarjo,
2021-03-25,Kab. Situbondo,10500
2021-03-25,Kab. Sumenep,10500
2021-03-25,Kab. Trenggalek,10000
2021-03-25,Kab. Tuban,9500
2021-03-25,Kab. Tulungagung,9500
2021-03-25,Kota Batu,11100
2021-03-25,Kota Blitar,10500
2021-03-25,Kota Kediri,10000
2021-03-25,Kota Madiun,10200
2021-03-25,Kota Malang,10500
2021-03-25,Kota Mojokerto,11000
2021-03-25,Kota Pasuruan,11000
2021-03-25,Kota Probolinggo,10000
2021-03-25,Kota Surabaya,10500
2021-03-26,Kab. Bangkalan,11000
2021-03-26,Kab. Banyuwangi,10000
2021-03-26,Kab. Blitar,9500
2021-03-26,Kab. Bojonegoro,10500
2021-03-26,Kab. Bondowoso,10500
2021-03-26,Kab. Gresik,10600
2021-03-26,Kab. Jember,11500
2021-03-26,Kab. Jombang,9500
2021-03-26,Kab. Kediri,9100
2021-03-26,Kab. Lamongan,10000
2021-03-26,Kab. Lumajang,10500
2021-03-26,Kab. Madiun,9750
2021-03-26,Kab. Magetan,10000
2021-03-26,Kab. Malang,
2021-03-26,Kab. Mojokerto,9300
2021-03-26,Kab. Nganjuk,9300
2021-03-26,Kab. Ngawi,9200
2021-03-26,Kab. Pacitan,9800
2021-03-26,Kab. Pamekasan,11000
2021-03-26,Kab. Pasuruan,10500
2021-03-26,Kab. Ponorogo,11300
2021-03-26,Kab. Probolinggo,9600
2021-03-26,Kab. Sampang,10500
2021-03-26,Kab. Sidoarjo,10300
2021-03-26,Kab. Situbondo,10500
2021-03-26,Kab. Sumenep,10500
2021-03-26,Kab. Trenggalek,10000
2021-03-26,Kab. Tuban,9500
2021-03-26,Kab. Tulungagung,9500
2021-03-26,Kota Batu,11000
2021-03-26,Kota Blitar,10500
2021-03-26,Kota Kediri,10000
2021-03-26,Kota Madiun,10200
